gene,number,cluster
KCNE1L,23630,1
ZKSCAN5,23660,1
SDF2L1,23753,1
CLDN15,24146,1
ZNF318,24149,1
C15orf63,25764,1
PRPF40B,25766,1
C22orf31,25770,1
DSTYK,25778,1
TMEM59L,25789,1
BAMBI,25805,1
PRDX5,25824,1
TXN2,25828,1
NBPF14,25832,1
MGAT4C,25834,1
ABTB2,25841,1
TECPR1,25851,1
USP49,25862,1
DCAF13,25879,1
POLR1A,25885,1
INTS7,25896,1
RTTN,25914,1
NDUFAF3,25915,1
ZNF521,25925,1
PTPN23,25930,1
HEATR5A,25938,1
C20orf194,25943,1
KBTBD2,25948,1
KANK2,25959,1
DNAH1,25981,1
KRT23,25984,1
REXO2,25996,1
CLIP3,25999,1
ODZ4,26011,1
ACOT11,26027,1
PLEKHG3,26030,1
CHD5,26038,1
SETBP1,26040,1
LRRTM2,26045,1
FAM169A,26049,1
GIGYF2,26058,1
FAM127B,26071,1
PYGO1,26108,1
WSB1,26118,1
TRPC4AP,26133,1
C10orf12,26148,1
ZNF337,26152,1
OR2B6,26212,1
FBXL6,26233,1
FBXL5,26234,1
FBXW8,26259,1
FBXO24,26261,1
SLC13A4,26266,1
FBXO10,26267,1
FBXO4,26272,1
NUPR1,26471,1
PPP1R14B,26472,1
CNNM1,26507,1
TIMM8B,26521,1
EIF2C1,26523,1
OR10G3,26533,1
OSTF1,26578,1
VCX,26609,1
RPS6KC1,26750,1
HAVCR1,26762,1
COPG2,26958,1
AKAP8L,26993,1
TCL6,27004,1
NOX1,27035,1
C1orf107,27042,1
VPS41,27072,1
UQCRQ,27089,1
DKK3,27122,1
MORC1,27136,1
KIAA1274,27143,1
FAM184B,27146,1
STK36,27148,1
CPAMD8,27151,1
NAAA,27163,1
PRELID1,27166,1
DISC1,27185,1
SULT1C4,27233,1
GPKOW,27238,1
BBS9,27241,1
CHMP2A,27243,1
AHDC1,27245,1
PCDH17,27253,1
CNTN6,27255,1
LSM3,27258,1
C10orf28,27291,1
ZNF638,27332,1
GOLIM4,27333,1
UTP20,27340,1
EML4,27436,1
SLCO1B3,28234,1
CDH20,28316,1
CCDC22,28952,1
ROBLD3,28956,1
SLC27A6,28965,1
IFT81,28981,1
FLVCR1,28982,1
C13orf15,28984,1
METTL11A,28989,1
COMMD5,28991,1
HIPK2,28996,1
MRPL13,28998,1
ZC3H7A,29066,1
C1GALT1C1,29071,1
HSPC072,29075,1
METTL5,29081,1
MRPL22,29093,1
SCG3,29106,1
PYCARD,29108,1
DDX25,29118,1
ZDHHC8,29801,1
TFCP2L1,29842,1
SENP1,29843,1
TFPT,29844,1
ALG5,29880,1
NPC1L1,29881,1
MYLPF,29895,1
CCDC106,29903,1
HCFC2,29915,1
DSE,29940,1
PURG,29942,1
PNMA3,29944,1
POMT2,29954,1
PACSIN1,29993,1
BAZ2B,29994,1
TNPO2,30000,1
KCNIP3,30818,1
ZNF354C,30832,1
NT5C,30833,1
CD209,30835,1
SOCS7,30837,1
PIK3R4,30849,1
SMARCAL1,50485,1
DUOX2,50506,1
NOX4,50507,1
GALNT9,50614,1
CYHR1,50626,1
CALY,50632,1
ANO7,50636,1
NEUROG3,50674,1
NSDHL,50814,1
TAS2R10,50839,1
SPOCK3,50859,1
CDON,50937,1
IMPG2,50939,1
ISOC1,51015,1
RRP15,51018,1
GLRX2,51022,1
MRPS18C,51023,1
BOLA1,51027,1
ZNF593,51042,1
ST8SIA3,51046,1
RPS27L,51065,1
TMX2,51075,1
MRPS7,51081,1
MLXIPL,51085,1
RPL26L1,51121,1
ZNF706,51123,1
SAR1B,51128,1
CHCHD2,51142,1
HN1,51155,1
ZNF580,51157,1
VPS28,51160,1
MYO15A,51168,1
LEF1,51176,1
DCXR,51181,1
RSL24D1,51187,1
RAPGEFL1,51195,1
CLDN18,51208,1
LUZP4,51213,1
ZNF219,51222,1
PIGP,51227,1
PHF20,51230,1
TMEM85,51234,1
MRPL27,51264,1
TFDP3,51270,1
ZNF571,51276,1
SCAND1,51282,1
CHCHD8,51287,1
ARMCX1,51309,1
PHF21A,51317,1
AMZ2,51321,1
TNFRSF12A,51330,1
PRR16,51334,1
C8orf55,51337,1
KRT76,51350,1
CDC40,51362,1
PLA1A,51365,1
TEX264,51368,1
POMP,51371,1
C2orf28,51374,1
ZNF589,51385,1
ANAPC5,51433,1
ANAPC7,51434,1
HPCAL4,51440,1
VCX3A,51481,1
NOP16,51491,1
C11orf73,51501,1
CWC15,51503,1
TRMT112,51504,1
ANAPC11,51529,1
VTA1,51534,1
VPS54,51542,1
CCRL1,51554,1
NT5DC3,51559,1
SRRT,51593,1
NBAS,51594,1
HMP19,51617,1
MRPS23,51649,1
PTRH2,51651,1
TMEM66,51669,1
SUFU,51684,1
OAZ3,51686,1
LSM7,51690,1
TRAPPC2L,51693,1
HECA,51696,1
NLK,51701,1
PADI3,51702,1
SELT,51714,1
CMPK1,51727,1
GHRL,51738,1
CDK12,51755,1
MYOZ2,51778,1
TM6SF2,53345,1
ZFYVE1,53349,1
GPR87,53836,1
CDHR5,53841,1
RAB24,53917,1
C21orf29,54084,1
TLR9,54106,1
NANS,54187,1
SNTG1,54212,1
GDAP1,54332,1
DPM3,54344,1
NLGN3,54413,1
SIAE,54414,1
SSH1,54434,1
PLEKHA5,54477,1
C11orf71,54494,1
HEATR5B,54497,1
TMCO1,54499,1
ADAMTSL4,54507,1
EXOSC4,54512,1
MRPL50,54534,1
SDK2,54549,1
MAGEL2,54551,1
UGT1A5,54579,1
L1TD1,54596,1
CCNJ,54619,1
UGT1A1,54658,1
RAB39,54734,1
IL17RD,54756,1
HYDIN,54768,1
HAUS6,54801,1
CNNM2,54805,1
GIPC2,54810,1
ZNF562,54811,1
KLHL28,54813,1
QPCTL,54814,1
GATAD2A,54815,1
C1orf26,54823,1
BEST2,54831,1
BSPRY,54836,1
FBXL12,54850,1
GON4L,54856,1
BCOR,54880,1
ELOVL2,54898,1
SEMA4C,54910,1
KIAA1797,54914,1
LIME1,54923,1
DUSP23,54935,1
SARS2,54938,1
CXorf48,54967,1
C2orf42,54980,1
C9orf95,54981,1
ULK4,54986,1
C1orf123,54987,1
ACSM5,54988,1
C11orf59,55004,1
RMND1,55005,1
C19orf24,55009,1
USP47,55031,1
SOBP,55084,1
CXorf57,55086,1
WDYHV1,55093,1
SAMD4B,55095,1
GPATCH2,55105,1
HEATR1,55127,1
TRIM68,55128,1
RBM28,55131,1
C19orf73,55150,1
MSL2,55167,1
KLHL11,55175,1
FAM82A2,55177,1
C20orf12,55184,1
RIC8B,55188,1
NUDT11,55190,1
PBRM1,55193,1
APPL2,55198,1
MAP1S,55201,1
SBNO1,55206,1
DPPA4,55211,1
ETNK2,55224,1
SLC38A7,55238,1
KIRREL,55243,1
ASXL2,55252,1
TMEM19,55266,1
IMP3,55272,1
TMEM100,55273,1
ACOXL,55289,1
RFK,55312,1
WDR33,55339,1
LAPTM4B,55353,1
PI4K2A,55361,1
TNFRSF19,55504,1
NOP10,55505,1
SLC35E3,55508,1
DDX43,55510,1
SMPD3,55512,1
ELMOD1,55531,1
SLC30A10,55532,1
CDV3,55573,1
VEZT,55591,1
OTUD5,55593,1
ZCCHC8,55596,1
ITLN1,55600,1
KIF16B,55614,1
ASAP3,55616,1
TTC27,55622,1
ZNF407,55628,1
SLC39A4,55630,1
CHD7,55636,1
NHP2,55651,1
HIF1AN,55662,1
C14orf118,55668,1
SLC30A6,55676,1
IWS1,55677,1
LIMS2,55679,1
SCYL2,55681,1
KIAA1310,55683,1
YEATS2,55689,1
IARS2,55699,1
FLJ10357,55701,1
POLR3B,55703,1
CCDC88A,55704,1
IPO9,55705,1
LMBR1L,55716,1
FAM178A,55719,1
BTBD7,55727,1
N4BP2,55728,1
ATF7IP,55729,1
ENAH,55740,1
CHFR,55743,1
NUP133,55746,1
CDK5RAP2,55755,1
RCOR3,55758,1
H2AFJ,55766,1
FGD6,55785,1
LRP2BP,55805,1
TRERF1,55809,1
UTP6,55813,1
KDM3A,55818,1
SELS,55829,1
TMEM111,55831,1
CAND1,55832,1
ITFG2,55846,1
CISD1,55847,1
TMEM165,55858,1
BEX1,55859,1
TMEM126B,55863,1
GSDMB,55876,1
MESP1,55897,1
ZNF302,55900,1
MLL5,55904,1
ZC4H2,55906,1
ERBB2IP,55914,1
C1orf183,55924,1
RAG1AP1,55974,1
NXF3,56000,1
C19orf10,56005,1
PCDHGC4,56098,1
RNF17,56163,1
STK31,56164,1
C21orf62,56245,1
YLPM1,56252,1
CTNNBL1,56259,1
CPXM1,56265,1
WDR45L,56270,1
SLC7A10,56301,1
DNAJC12,56521,1
SLC2A9,56606,1
TMPRSS4,56649,1
C10orf2,56652,1
MUC13,56667,1
SUCNR1,56670,1
GRIPAP1,56850,1
C15orf24,56851,1
UGGT1,56886,1
MDM1,56890,1
AGPAT4,56895,1
DPYSL5,56896,1
DHX33,56919,1
CA10,56934,1
C11orf75,56935,1
C16orf61,56942,1
ENY2,56943,1
C11orf30,56946,1
ATXN7L3,56970,1
PRDM9,56979,1
PRDM10,56980,1
PRDM11,56981,1
BBX,56987,1
TULP4,56995,1
ADAMTS9,56999,1
ACN9,57001,1
CXCR7,57007,1
COQ9,57017,1
SLC17A7,57030,1
ENTPD7,57089,1
TRIM49,57093,1
PARP11,57097,1
C12orf5,57103,1
RAB25,57111,1
CAMK1D,57118,1
GOPC,57120,1
NUP107,57122,1
RHBG,57127,1
MAN1C1,57134,1
RALGAPB,57148,1
LYRM1,57149,1
ZMIZ1,57178,1
SLC39A10,57181,1
ATP8B2,57198,1
KIAA0495,57212,1
VANGL2,57216,1
NHSL1,57224,1
ZNF286A,57335,1
SENP7,57337,1
TTYH1,57348,1
S100A14,57402,1
MIF4GD,57409,1
NDRG3,57446,1
BIRC6,57448,1
GATAD2B,57459,1
PPM1H,57460,1
TBC1D24,57465,1
SFRS15,57466,1
HHATL,57467,1
ERMN,57471,1
ZNF490,57474,1
SHROOM4,57477,1
PLEKHG1,57480,1
ARID1B,57492,1
RIMKLB,57494,1
MKL2,57496,1
ZNF608,57507,1
SERINC1,57515,1
RGAG1,57529,1
HACE1,57531,1
MIB1,57534,1
KIAA1328,57536,1
WDR35,57539,1
TXNDC16,57544,1
PDP2,57546,1
TAOK1,57551,1
DOCK6,57572,1
KIF17,57576,1
KIAA1409,57578,1
PREX1,57580,1
TMEM181,57583,1
CRAMP1L,57585,1
KIAA1432,57589,1
FNIP2,57600,1
KIAA1462,57608,1
DIP2B,57609,1
KIAA1467,57613,1
ZBTB2,57621,1
LRFN1,57622,1
EP400,57634,1
CCDC146,57639,1
MYH7B,57644,1
DHX37,57647,1
KIAA1524,57650,1
PHRF1,57661,1
FBRSL1,57666,1
KIAA1549,57670,1
BEND3,57673,1
GPAM,57678,1
ALS2,57679,1
CHD8,57680,1
CACHD1,57685,1
ZNF317,57693,1
DDX55,57696,1
FANCM,57697,1
CPNE5,57699,1
SEMA4G,57715,1
ANO8,57719,1
KIAA1632,57724,1
WDR19,57728,1
SPTBN4,57731,1
POLD4,57804,1
SLC46A2,57864,1
NGB,58157,1
SQRDL,58472,1
RPRD1B,58490,1
PROL1,58503,1
MLL3,58508,1
DLGAP3,58512,1
DMRT3,58524,1
WIZ,58525,1
IL22RA1,58985,1
CACNG7,59284,1
PRDM12,59335,1
KLHL12,59349,1
SLC25A19,60386,1
EDA2R,60401,1
TGIF2,60436,1
SLC5A7,60482,1
PPCDC,60490,1
HPSE2,60495,1
ALX4,60529,1
DHX35,60625,1
PAPPA2,60676,1
C4orf41,60684,1
BCORL1,63035,1
BCAN,63827,1
VIPAR,63894,1
GPATCH3,63906,1
ZNF335,63925,1
PRDM16,63976,1
PRDM15,63977,1
PRDM14,63978,1
ANO3,63982,1
RBM26,64062,1
CDH23,64072,1
ELSPBP1,64100,1
DUS1L,64118,1
RRAGC,64121,1
FN3K,64122,1
MMS19,64210,1
LHX5,64211,1
NOC3L,64318,1
HIF3A,64344,1
SIL1,64374,1
IKZF4,64375,1
GMCL1,64395,1
GMCL1L,64396,1
SUDS3,64426,1
TTC31,64427,1
C14orf135,64430,1
TTTY15,64595,1
GIGYF1,64599,1
ANAPC1,64682,1
NUCKS1,64710,1
CCDC136,64753,1
FAM59A,64762,1
RBM15,64783,1
CCDC21,64793,1
RMND5A,64795,1
ARV1,64801,1
AGXT2L1,64850,1
VWA1,64856,1
PLEKHG2,64857,1
PAPOLG,64895,1
C12orf43,64897,1
MRPL14,64928,1
MRPS24,64951,1
MRPS11,64963,1
MRPL41,64975,1
MRPL38,64978,1
MRPL36,64979,1
MRPL32,64983,1
MRPL11,65003,1
SLC26A10,65012,1
CDK15,65061,1
VPS33A,65082,1
KRI1,65095,1
RSRC2,65117,1
WNK1,65125,1
PCDH15,65217,1
ZNF643,65243,1
SPATS2,65244,1
ZSWIM4,65249,1
PYCRL,65263,1
WNK4,65266,1
WNK3,65267,1
STK33,65975,1
CAPRIN2,65981,1
AACS,65985,1
ZBTB10,65986,1
MRPS34,65993,1
LRRC61,65999,1
LYNX1,66004,1
MRP63,78988,1
OTUB2,78990,1
GDAP1L1,78997,1
VKORC1,79001,1
CAMKV,79012,1
DDX54,79039,1
TSEN34,79042,1
TRPM8,79054,1
TMEM223,79064,1
DCTPP1,79077,1
ZNF426,79088,1
TRAPPC6A,79090,1
C9orf16,79095,1
DERL1,79139,1
PPDPF,79144,1
GNPTAB,79158,1
ZNF576,79177,1
FSD1,79187,1
BIRC7,79444,1
NKAIN1,79570,1
ABHD8,79575,1
GPR172A,79581,1
MRPL24,79590,1
SAP130,79595,1
RNF219,79596,1
CEP97,79598,1
LASS4,79603,1
C6orf211,79624,1
CHMP6,79643,1
AKIRIN1,79647,1
PLEKHF2,79666,1
FN3KRP,79672,1
VTCN1,79679,1
C17orf101,79701,1
NOL9,79707,1
GLT25D1,79709,1
NPEPL1,79716,1
C15orf29,79768,1
ZFHX4,79776,1
IQCA1,79781,1
LRRC31,79782,1
GSDMD,79792,1
C12orf49,79794,1
HHIPL2,79802,1
VASH2,79805,1
PIP4K2C,79837,1
TMEM180,79847,1
PDZD3,79849,1
TM4SF20,79853,1
SNX22,79856,1
TREML2,79865,1
TCTN2,79867,1
TMC7,79905,1
ATAD5,79915,1
NANOG,79923,1
SYNPO2L,79933,1
PDZD7,79955,1
PCNXL2,80003,1
NAA25,80018,1
TMEM62,80021,1
SLC24A6,80024,1
FBXL18,80028,1
CSRNP3,80034,1
DCAF17,80067,1
C6orf208,80069,1
CCDC15,80071,1
C6orf97,80129,1
ZNF703,80139,1
THOC7,80145,1
CEP290,80184,1
TMEM134,80194,1
RNF34,80196,1
ARMC9,80210,1
CCDC92,80212,1
C10orf79,80217,1
ORAI2,80228,1
C16orf70,80262,1
HSD3B7,80270,1
GRPEL1,80273,1
SCUBE1,80274,1
C2orf44,80304,1
SPHKAP,80309,1
KLHL15,80311,1
TET1,80312,1
EPC1,80314,1
ZKSCAN3,80317,1
TNKS2,80351,1
ACAD10,80724,1
SRCIN1,80725,1
KIAA1683,80726,1
THSD7B,80731,1
NDFIP1,80762,1
ZNF436,80818,1
DUSP16,80824,1
SH3BP5L,80851,1
TMPRSS5,80975,1
KCNH6,81033,1
GPR63,81491,1
MAGED4B,81557,1
CSRNP2,81566,1
CCDC130,81576,1
TRIM7,81786,1
TIGD6,81789,1
SLCO5A1,81796,1
SHARPIN,81858,1
ARPC5L,81873,1
RAB1B,81876,1
MXD3,83463,1
DNAL1,83544,1
RTBDN,83546,1
GPR101,83550,1
AMMECR1L,83607,1
C19orf12,83636,1
TEX101,83639,1
SELO,83642,1
CCDC3,83643,1
FAM167A,83648,1
CRISPLD1,83690,1
HSDL1,83693,1
TRPT1,83707,1
ITCH,83737,1
TAS1R3,83756,1
GPR61,83873,1
MIXL1,83881,1
PRSS27,83886,1
TTLL2,83887,1
WDR87,83889,1
STK40,83931,1
C1orf124,83932,1
TSSK6,83983,1
KREMEN1,83999,1
OBSCN,84033,1
KATNAL1,84056,1
GPR98,84059,1
FAM160A2,84067,1
ARMC2,84071,1
HORMAD1,84072,1
ANKRD27,84079,1
FBXO30,84085,1
ZIC4,84107,1
USP42,84132,1
ZNRF3,84133,1
FAM161A,84140,1
C19orf44,84167,1
POLR1B,84172,1
CHD6,84181,1
FAM96A,84191,1
USP48,84196,1
SGK196,84197,1
TXNDC2,84203,1
MEX3B,84206,1
RGPD5,84220,1
TMEM191A,84222,1
NBPF3,84224,1
MAF1,84232,1
TMEM126A,84233,1
ATP13A4,84239,1
GARNL3,84253,1
TCHP,84260,1
C9orf89,84270,1
TMEM175,84286,1
ING5,84289,1
UTP23,84294,1
DDI2,84301,1
NUDT22,84304,1
CCDC77,84318,1
C16orf13,84326,1
ZBED3,84327,1
FAM195A,84331,1
HHIPL1,84439,1
RAB11FIP4,84440,1
DOT1L,84444,1
ZNF333,84449,1
LCOR,84458,1
BTBD12,84464,1
MEGF10,84466,1
FBN3,84467,1
FAM120B,84498,1
JPH4,84502,1
ACRBP,84519,1
C14orf142,84520,1
ZNF559,84527,1
ACSS1,84532,1
KRBA1,84626,1
TNRC18,84629,1
SPZ1,84654,1
EMR3,84658,1
FAM126A,84668,1
TRIM63,84676,1
KDM2B,84678,1
HINT2,84681,1
LOXL3,84695,1
GTPBP3,84705,1
PLEKHA8,84725,1
BAT2L1,84726,1
CBX2,84733,1
UNC119B,84747,1
USP30,84749,1
ZNF607,84775,1
NAA11,84779,1
ZNF496,84838,1
RAX2,84839,1
PTPN5,84867,1
GPR128,84873,1
ZSCAN10,84891,1
RNFT2,84900,1
ZNF341,84905,1
SLC35B4,84912,1
ATOH8,84913,1
PPP1R15B,84919,1
C8orf76,84933,1
MAEL,84944,1
LTV1,84946,1
TIGD5,84948,1
CGNL1,84952,1
NUDCD1,84955,1
JUB,84962,1
C1orf94,84970,1
DISP1,84976,1
C12orf62,84987,1
PPP1R16A,84988,1
TMEM141,85014,1
REPS1,85021,1
HIST1H2BK,85236,1
PAQR8,85315,1
ALG2,85365,1
DNAJC14,85406,1
CCNB3,85417,1
DISP2,85455,1
SSH2,85464,1
LBX2,85474,1
SCIN,85477,1
SCRT2,85508,1
ANKRD13A,88455,1
SERPINB12,89777,1
GAL3ST3,89792,1
NAV1,89796,1
ABCC10,89845,1
FAM125B,89853,1
KLHL6,89857,1
C3orf15,89876,1
UBE3B,89910,1
PAPLN,89932,1
VWA5B2,90113,1
EMILIN3,90187,1
UCN2,90226,1
FAM110B,90362,1
DCAF15,90379,1
MED30,90390,1
C15orf57,90416,1
ZNF625,90589,1
ZNF439,90594,1
LRRC16B,90668,1
ANGEL2,90806,1
DHX57,90957,1
FMNL3,91010,1
TRIM47,91107,1
LOC91316,91316,1
UBXN11,91544,1
RPS19BP1,91582,1
PLXNA4,91584,1
C22orf32,91689,1
C14orf43,91748,1
KIAA1919,91749,1
LIN52,91750,1
NEK9,91754,1
FAM55C,91775,1
MYLK3,91807,1
NDUFAF2,91942,1
CXorf40A,91966,1
ZNF300,91975,1
MYOZ3,91977,1
SNX29,92017,1
ZC3HAV1L,92092,1
ZNF585B,92285,1
TMEM129,92305,1
MEX3A,92312,1
MRRF,92399,1
HELB,92797,1
HIST3H2A,92815,1
NEURL3,93082,1
NAPRT1,93100,1
OLFM2,93145,1
MYOCD,93649,1
ATPIF1,93974,1
LRRC4B,94030,1
RP1L1,94137,1
OPN4,94233,1
TGS1,96764,1
MYL12B,103910,1
PRRT2,112476,1
NCRNA00152,112597,1
TUBA3E,112714,1
PHF21B,112885,1
NACC1,112939,1
C12orf57,113246,1
GLCCI1,113263,1
CMTM1,113540,1
MFSD3,113655,1
MAL2,114569,1
LRRC37B,114659,1
CARD16,114769,1
BTBD9,114781,1
STK11IP,114790,1
CROCCL2,114819,1
PNMA5,114824,1
FHAD1,114827,1
OSBPL11,114885,1
C1QTNF4,114900,1
SLC26A7,115111,1
FBXO17,115290,1
GEFT,115557,1
TNFRSF13C,115650,1
WDFY2,115825,1
NXNL1,115861,1
CCDC151,115948,1
ZNF653,115950,1
FOXP4,116113,1
C20orf108,116151,1
CYYR1,116159,1
OLIG1,116448,1
MRGPRE,116534,1
MRPL54,116541,1
HSPA12B,116835,1
DACH2,117154,1
RAB3IP,117177,1
DEFB118,117285,1
TRIM6,117854,1
GDEP,118425,1
MUCL1,118430,1
C10orf71,118461,1
CHCHD1,118487,1
MMP21,118856,1
COMTD1,118881,1
C10orf4,118924,1
PDZD8,118987,1
LYZL2,119180,1
CLRN3,119467,1
FAT3,120114,1
LRIG3,121227,1
SLC15A4,121260,1
ZNF641,121274,1
KRT74,121391,1
SPPL3,121665,1
OR11H6,122748,1
C15orf40,123207,1
MTFMT,123263,1
TMEM219,124446,1
C17orf95,124512,1
TMEM132E,124842,1
WFIKKN2,124857,1
SEZ6,124925,1
ANKRD13B,124930,1
CYB5D2,124936,1
LOXHD1,125336,1
RAVER1,125950,1
COX6B2,125965,1
C19orf70,125988,1
ZNF440,126070,1
CCDC105,126402,1
CYP4F22,126410,1
FBXO27,126433,1
ANKLE1,126549,1
KLHDC9,126823,1
C1orf125,126859,1
ATXN7L2,127002,1
MYOM3,127294,1
VWA5B1,127731,1
EDARADD,128178,1
APOA1BP,128240,1
C20orf94,128710,1
BPIL3,128859,1
FAM83C,128876,1
EMID1,129080,1
KLRAQ1,129285,1
ACMSD,130013,1
FAM168B,130074,1
C2orf63,130162,1
LYPD6B,130576,1
CPNE4,131034,1
FAM3D,131177,1
TRIM71,131405,1
CHCHD4,131474,1
ZDHHC19,131540,1
TMEM42,131616,1
UROC1,131669,1
COL6A6,131873,1
TMEM207,131920,1
METTL6,131965,1
SYNPR,132204,1
OCIAD2,132299,1
ENPP6,133121,1
NHEDC2,133308,1
NUDCD2,134492,1
ADAT2,134637,1
CLVS2,134829,1
HINT3,135114,1
B3GAT2,135152,1
SFRS13B,135295,1
ZNF786,136051,1
C7orf31,136895,1
FAM92A1,137392,1
ABRA,137735,1
TMEM71,137835,1
SGCZ,137868,1
DCAF4L2,138009,1
C9orf85,138241,1
PTRH1,138428,1
TAF1L,138474,1
C9orf23,138716,1
BEND2,139105,1
FAM123B,139285,1
SMEK3P,139420,1
FOXR2,139628,1
TCP10L,140290,1
ASB5,140458,1
S100A16,140576,1
ACTRT2,140625,1
SLC32A1,140679,1
C20orf112,140688,1
C20orf117,140710,1
C20orf118,140711,1
NRSN1,140767,1
SMCR8,140775,1
C20orf56,140828,1
FAM65C,140876,1
ITLN2,142683,1
KBTBD3,143879,1
AMDHD1,144193,1
ZNF664,144348,1
TMEM120B,144404,1
GLT1D1,144423,1
FAM109A,144717,1
ADAM21P1,145241,1
ABHD12B,145447,1
FAM161B,145483,1
ISM2,145501,1
C14orf145,145508,1
MDP1,145553,1
LRFN5,145581,1
C15orf61,145853,1
TTBK2,146057,1
ZFP90,146198,1
GSG1L,146395,1
ZNF688,146542,1
DNAH2,146754,1
SLC47A2,146802,1
TMEM190,147744,1
ZNF524,147807,1
ZNF420,147923,1
DPY19L3,147991,1
C19orf55,148137,1
ZNF558,148156,1
ZNF98,148198,1
ZNF569,148266,1
ZNF570,148268,1
C1orf58,148362,1
LOC148709,148709,1
HFE2,148738,1
PM20D1,148811,1
C1orf150,148823,1
CCDC27,148870,1
DCDC2B,149069,1
LOC149134,149134,1
CLDN19,149461,1
WDR65,149465,1
CCDC17,149483,1
C1orf64,149563,1
C20orf186,149954,1
ZDHHC8P1,150244,1
DUSP18,150290,1
C22orf27,150291,1
ENTHD1,150350,1
TTL,150465,1
CKAP2L,150468,1
FBXO41,150726,1
GPAT2,150763,1
FAM117B,150864,1
CCNYL1,151195,1
KLHL23,151230,1
ASPRV1,151516,1
PPP4R2,151987,1
RNF38,152006,1
CMC1,152100,1
CCDC52,152185,1
CMTM8,152189,1
LOC152217,152217,1
ZNF827,152485,1
SHISA3,152573,1
SLC38A9,153129,1
ZMAT2,153527,1
TRY6,154754,1
C7orf55,154791,1
LOC154822,154822,1
KCTD7,154881,1
C7orf66,154907,1
TMEM213,155006,1
CRYGN,155051,1
RBM33,155435,1
LOC157381,157381,1
AWAT1,158833,1
TCEAL6,158931,1
TMEM20,159371,1
PPTC7,160760,1
C14orf49,161176,1
C14orf21,161424,1
FAM134C,162427,1
TRPV3,162514,1
SLC16A11,162515,1
ZNF791,163049,1
ZNF564,163050,1
ZNF709,163051,1
ZNF567,163081,1
ZNF780B,163131,1
ZNF100,163227,1
TOR1AIP2,163590,1
IL28RA,163702,1
C1orf55,163859,1
FAM43B,163933,1
HFM1,164045,1
APCDD1L,164284,1
LRRN4,164312,1
TTLL9,164395,1
OXER1,165140,1
FAM179A,165186,1
C3orf57,165679,1
GPR156,165829,1
SPATA5,166378,1
MGC42105,167359,1
TXLNB,167838,1
BHLHA15,168620,1
ZCCHC12,170261,1
HTR3C,170572,1
NUDT10,170685,1
ADAMTS16,170690,1
ZNF384,171017,1
ADAMTS19,171019,1
ASXL1,171023,1
RHOV,171177,1
HIGD2A,192286,1
EIF2C3,192669,1
EIF2C4,192670,1
NCRNA00189,193629,1
ANTXRL,195977,1
DNAH10,196385,1
METTL7B,196410,1
PLBD2,196463,1
DCP1B,196513,1
ARID2,196528,1
C10orf72,196740,1
NSMCE1,197370,1
TTC21A,199223,1
ZNF627,199692,1
DAND5,199699,1
CYP4Z1,199974,1
SLC5A9,200010,1
SLFNL1,200172,1
KRTCAP2,200185,1
C1orf69,200205,1
ALMS1P,200420,1
TET3,200424,1
PIKFYVE,200576,1
KRTCAP3,200634,1
FLCN,201163,1
STRA13,201254,1
LOC201651,201651,1
SLC10A4,201780,1
TAPT1,202018,1
DNAJC18,202052,1
NLRP11,204801,1
HIPK1,204851,1
FAM123C,205147,1
NCRNA00116,205251,1
KIAA2018,205717,1
AQPEP,206338,1
SLC36A1,206358,1
DHRSX,207063,1
FAM123A,219287,1
OR4C16,219428,1
TMEM26,219623,1
OR8B12,219858,1
MRPL21,219927,1
GLYATL2,219970,1
MS4A15,219995,1
GDPD4,220032,1
DLEU7,220107,1
DOK6,220164,1
FAM13C,220965,1
PRSS54,221191,1
CES7,221223,1
FAM26D,221301,1
ZUFSP,221302,1
C6orf170,221322,1
GPR115,221393,1
PI16,221476,1
C6orf1,221491,1
ZBTB12,221527,1
PHACTR1,221692,1
ZNF498,221785,1
HOXA11AS,221883,1
C7orf47,221908,1
GPC2,221914,1
SDK1,221935,1
FOXK1,221937,1
ATXN7L1,222255,1
CDHR3,222256,1
BEND7,222389,1
GPRC6A,222545,1
KCTD20,222658,1
SCUBE3,222663,1
ZSCAN23,222696,1
C7orf51,222950,1
DEFB125,245938,1
AFARP1,246182,1
EPHX4,253152,1
LOC253724,253724,1
EBF3,253738,1
WDR27,253769,1
UBN2,254048,1
LRRC43,254050,1
BRWD3,254065,1
FAM26E,254228,1
ZDHHC24,254359,1
MCM9,254394,1
SLC41A1,254428,1
LPCAT4,254531,1
NUDT8,254552,1
TCP11L2,255394,1
COL24A1,255631,1
PCSK9,255738,1
NPNT,255743,1
SYT14,255928,1
SERPINA11,256394,1
TMEM151A,256472,1
TCERG1L,256536,1
LYSMD2,256586,1
SERINC5,256987,1
PLCXD2,257068,1
GCET2,257144,1
SHPRH,257218,1
KLHL34,257240,1
DSCR10,259234,1
WFDC11,259239,1
C9orf144B,259308,1
CYP4X1,260293,1
NPHP4,261734,1
CSNK2A1P,283106,1
KCTD21,283219,1
EFCAB4A,283229,1
RCOR2,283248,1
RPL13P5,283345,1
RASSF3,283349,1
ANKRD52,283373,1
SLC39A5,283375,1
GPR133,283383,1
GAS2L3,283431,1
C12orf51,283450,1
GXYLT1,283464,1
KCNRG,283518,1
LOC283761,283761,1
HTA,283902,1
ZNF843,283933,1
C16orf91,283951,1
