gene,number,cluster
HLA-DMA,3108,1
HNF4A,3172,1
HNRNPH1,3187,1
HNRNPU,3192,1
TLX1,3195,1
HOXA11,3207,1
HOXB1,3211,1
HOXC4,3221,1
HOXC6,3223,1
HOXC11,3227,1
HOXD11,3237,1
HOXD13,3239,1
ERAS,3266,1
HSF1,3297,1
HSF2,3298,1
HSPA5,3309,1
IGSF3,3321,1
HSPE1,3336,1
DNAJC4,3338,1
HSPG2,3339,1
HTR1E,3354,1
HTR1F,3355,1
HYAL1,3373,1
IBSP,3381,1
ICT1,3396,1
IDE,3416,1
IDH3A,3419,1
IDH3G,3421,1
IFNW1,3467,1
IGF2R,3482,1
IGFALS,3483,1
IGSF1,3547,1
IL5RA,3568,1
IL12RB2,3595,1
IL13RA1,3597,1
ILF3,3609,1
INPP4A,3631,1
INSL4,3641,1
INSRR,3645,1
ITGB6,3694,1
JAK3,3718,1
JARID2,3720,1
KCNA5,3741,1
KCNA6,3742,1
KCNC2,3747,1
KCND1,3750,1
KCNJ3,3760,1
KCNJ11,3767,1
KCNJ12,3768,1
KCNJ14,3770,1
KCNJ15,3772,1
KCNN1,3780,1
KCNQ2,3785,1
KCNS2,3788,1
KIF3C,3797,1
KIF5A,3798,1
KPNA5,3841,1
TNPO1,3842,1
KRAS,3845,1
KRT85,3891,1
AFF3,3899,1
LAMA2,3908,1
LAMC1,3915,1
LBR,3930,1
LCN1,3933,1
LGALS3,3958,1
LGALS4,3960,1
LGALS7,3963,1
LHCGR,3973,1
LIG3,3980,1
LLGL1,3996,1
LMNA,4000,1
LRP1,4035,1
LRP4,4038,1
LRP6,4040,1
LRPAP1,4043,1
LTA4H,4048,1
LY6E,4061,1
LY6H,4062,1
NBR1,4077,1
MXD1,4084,1
SMAD9,4093,1
MAG,4099,1
MAGEA6,4105,1
MAGEA8,4107,1
MAGEA12,4111,1
MAGOH,4116,1
MAN2B1,4125,1
MAOA,4128,1
MAOB,4129,1
MAS1,4142,1
MATN1,4146,1
ADAM11,4185,1
MDM2,4193,1
MDM4,4194,1
MAP3K4,4216,1
MGMT,4255,1
MGST2,4258,1
ATXN3,4287,1
MAP3K10,4294,1
MLLT4,4301,1
MLLT6,4302,1
FOXO4,4303,1
MMP7,4316,1
ALDH6A1,4329,1
MOV10,4343,1
MPG,4350,1
MPP2,4355,1
MRC1,4360,1
ABCC1,4363,1
MSH2,4436,1
MTF1,4520,1
MTHFR,4524,1
MTTP,4547,1
MTR,4548,1
MTX1,4580,1
MUC2,4583,1
MVD,4597,1
MYH3,4621,1
MYH6,4624,1
MYL5,4636,1
MYO1A,4640,1
MYO1D,4642,1
MYO9B,4650,1
PPP1R12B,4660,1
NAIP,4671,1
NAP1L1,4673,1
NDUFA1,4694,1
NDUFA2,4695,1
NDUFA3,4696,1
NDUFA6,4700,1
NDUFA8,4702,1
NDUFAB1,4706,1
NDUFB1,4707,1
NDUFB2,4708,1
NDUFB5,4711,1
NDUFB9,4715,1
NDUFB10,4716,1
NDUFC1,4717,1
NDUFS4,4724,1
NDUFS6,4726,1
NDUFS8,4728,1
NDUFV2,4729,1
NEFM,4741,1
NEFH,4744,1
NEK1,4750,1
NF1,4763,1
NFATC3,4775,1
NFE2,4778,1
NFIX,4784,1
NFYA,4800,1
NKTR,4820,1
NKX6-1,4825,1
NME1,4830,1
NME2,4831,1
NME3,4832,1
NODAL,4838,1
NOS1,4842,1
NOTCH2,4853,1
NOTCH3,4854,1
NPPA,4878,1
NPPB,4879,1
NPY6R,4888,1
NRF1,4899,1
NTN3,4917,1
ROR1,4919,1
DDR2,4921,1
NTSR1,4923,1
NUP98,4928,1
NVL,4931,1
OPRL1,4987,1
OR3A2,4995,1
SLC22A18,5002,1
OTC,5009,1
OTX2,5015,1
P2RY6,5031,1
P4HB,5034,1
PAEP,5047,1
PRDX1,5052,1
PAH,5053,1
PARK2,5071,1
PAX3,5077,1
PAX7,5081,1
PBX2,5089,1
PCBD1,5092,1
PCNT,5116,1
CDK17,5128,1
PDGFRL,5157,1
PDE6B,5158,1
PENK,5179,1
PFDN1,5201,1
PFKFB2,5208,1
PHKG2,5261,1
SERPINA1,5265,1
PIK3CD,5293,1
PIK3R2,5296,1
PKP2,5318,1
PLAGL1,5325,1
PLAGL2,5326,1
PLCG1,5335,1
PLD1,5337,1
PLP1,5354,1
PNMT,5409,1
POLE,5426,1
POLR2A,5430,1
POLR2G,5436,1
POLR2H,5437,1
POLR2K,5440,1
POLR2L,5441,1
PON2,5445,1
POU3F1,5453,1
POU3F2,5454,1
POU3F3,5455,1
MED1,5469,1
PPIA,5478,1
PPIB,5479,1
PPP1CA,5499,1
PPP2R5E,5529,1
PPY,5539,1
PRB1,5542,1
PRCP,5547,1
PREP,5550,1
PRKAB1,5564,1
PRKAB2,5565,1
PRKAR2A,5576,1
PRKCE,5581,1
PRKCG,5582,1
PKN1,5585,1
PRKCSH,5589,1
PRKDC,5591,1
MAPK7,5598,1
PRL,5617,1
PROX1,5629,1
PRRG2,5639,1
PRSS3,5646,1
MASP1,5648,1
RELN,5649,1
PRSS8,5652,1
PSEN2,5664,1
PSMA5,5686,1
PSMA6,5687,1
PSMA7,5688,1
PSMB8,5696,1
PYY,5697,1
PSMB10,5699,1
PSME1,5720,1
PTCH1,5727,1
PTGDS,5730,1
PTGS2,5743,1
PTH1R,5745,1
PTPN11,5781,1
PTPN14,5784,1
PTPRG,5793,1
PTPRS,5802,1
PXN,5829,1
PZP,5858,1
RAB3B,5865,1
MAP4K2,5871,1
RAD17,5884,1
RAD51L3,5892,1
RAD52,5893,1
RAG1,5896,1
RAG2,5897,1
RAPSN,5913,1
RARRES3,5920,1
KDM5A,5927,1
RBBP5,5929,1
RBL1,5933,1
RBP2,5948,1
RBP4,5950,1
RECQL,5965,1
REL,5966,1
RET,5979,1
REV3L,5980,1
RFPL1,5988,1
RFX1,5989,1
RFX3,5991,1
RHO,6010,1
RLF,6018,1
ROBO1,6091,1
RPL8,6132,1
RPL30,6156,1
MRPL12,6182,1
RPS21,6227,1
RREB1,6239,1
RSC1A1,6248,1
RYR1,6261,1
S100A2,6273,1
S100A4,6275,1
S100A5,6276,1
S100A6,6277,1
S100A11,6282,1
S100A13,6284,1
SAFB,6294,1
SALL2,6297,1
SALL1,6299,1
SAT1,6303,1
ATXN2,6311,1
CLEC11A,6320,1
SCN2A,6326,1
SCN4A,6329,1
SCN4B,6330,1
SCN5A,6331,1
SCNN1G,6340,1
SCP2,6342,1
SRL,6345,1
CCL18,6362,1
SDC4,6385,1
SDHD,6392,1
SEC13,6396,1
SECTM1,6398,1
SEMG2,6407,1
SEPW1,6415,1
SFPQ,6421,1
SFRS8,6433,1
ITSN1,6453,1
ST3GAL2,6483,1
SIM2,6493,1
SIX1,6495,1
SLC1A6,6511,1
SLC3A2,6520,1
SLC5A3,6526,1
SLC5A4,6527,1
SLC6A3,6531,1
SLC6A4,6532,1
SLC8A3,6547,1
SLC10A1,6554,1
SLC12A3,6559,1
SLC14A1,6563,1
SLC16A1,6566,1
SLC18A3,6572,1
SLC22A2,6582,1
SLIT1,6585,1
SMARCA4,6597,1
SMARCC1,6599,1
SMARCD1,6602,1
SMO,6608,1
SUMO2,6613,1
SNRPA1,6627,1
SNRPD2,6633,1
SON,6651,1
SOS1,6654,1
SOX5,6660,1
SP4,6671,1
SPAST,6683,1
SPINK1,6690,1
SPINK2,6691,1
SPINT1,6692,1
SPR,6697,1
SPRR2G,6706,1
SPTB,6710,1
SPTBN1,6711,1
SRP14,6727,1
SSR4,6748,1
SSTR1,6751,1
SSTR3,6753,1
SSX5,6758,1
STAT5A,6776,1
STAT5B,6777,1
STK3,6788,1
CDKL5,6792,1
STRN,6801,1
STX1A,6804,1
SUPT5H,6829,1
SUPT6H,6830,1
SYN1,6853,1
SYP,6855,1
SYT1,6857,1
T,6862,1
TADA2A,6871,1
TAF1,6872,1
TAF5,6877,1
MAP3K7,6885,1
TBP,6908,1
TBX3,6926,1
HNF1A,6927,1
TCF3,6929,1
TCP10,6953,1
TCTA,6988,1
TEAD1,7003,1
TECTA,7007,1
TFAP2B,7021,1
TFCP2,7024,1
TFF1,7031,1
THBS3,7059,1
THBS4,7060,1
TCHH,7062,1
THRA,7067,1
THRSP,7069,1
TIA1,7072,1
TK1,7083,1
TM4SF4,7104,1
TNNI1,7135,1
TNP1,7141,1
TOP2A,7153,1
TP53BP2,7159,1
TP73,7161,1
TPH1,7166,1
TPP2,7174,1
TPR,7175,1
TRAF5,7188,1
TRH,7200,1
TRO,7216,1
TSC1,7248,1
TSC2,7249,1
TSHR,7253,1
TSPYL1,7259,1
PHLDA2,7262,1
TST,7263,1
TSTA3,7264,1
TTC1,7265,1
TTN,7273,1
TUB,7275,1
TUBA4A,7277,1
TUBB2A,7280,1
TULP3,7289,1
HIRA,7290,1
TXN,7295,1
TYK2,7297,1
UBTF,7343,1
UPK1B,7348,1
UCP1,7350,1
COL14A1,7373,1
UQCRB,7381,1
UQCRH,7388,1
USH2A,7399,1
UTRN,7402,1
VDAC1,7416,1
VGF,7425,1
VIL1,7429,1
VTN,7448,1
CLIP2,7461,1
WNT1,7471,1
WNT10B,7480,1
WNT2B,7482,1
WNT9B,7484,1
XPNPEP2,7512,1
ZIC2,7546,1
ZNF2,7549,1
ZNF10,7556,1
ZNF12,7559,1
ZNF708,7562,1
ZNF182,7569,1
ZNF26,7574,1
ZSCAN20,7579,1
ZNF33A,7581,1
ZKSCAN1,7586,1
ZNF41,7592,1
ZNF70,7621,1
ZNF74,7625,1
ZNF84,7637,1
ZNF221,7638,1
ZNF99,7652,1
ZNF136,7695,1
ZNF140,7699,1
ZNF142,7701,1
ZNF146,7705,1
RNF113A,7737,1
ZNF192,7745,1
ZNF207,7756,1
ZNF236,7776,1
SLC30A1,7779,1
LUZP1,7798,1
NPHS2,7827,1
BTG2,7832,1
ALMS1,7840,1
TUBA1A,7846,1
MANF,7873,1
KCNAB1,7881,1
REEP5,7905,1
BAT2,7916,1
HSD17B8,7923,1
EPM2A,7957,1
ZNF212,7988,1
PSCA,8000,1
LHX3,8022,1
MLLT10,8028,1
CUBN,8029,1
USP5,8078,1
MLL2,8085,1
HMGA2,8091,1
SLC14A2,8170,1
SYN3,8224,1
PNPLA4,8228,1
USP11,8237,1
NAA10,8260,1
TMEM187,8269,1
ARID1A,8289,1
TRRAP,8295,1
SNN,8303,1
AXIN2,8313,1
BRAP,8315,1
FZD7,8324,1
HIST1H2AM,8336,1
HIST2H2AA3,8337,1
HIST1H2BN,8341,1
HIST1H2BO,8348,1
HIST2H2BE,8349,1
HIST1H4H,8365,1
HIST2H4A,8370,1
PIP4K2B,8396,1
SOX14,8403,1
TAGLN2,8407,1
ULK1,8408,1
LTBP4,8425,1
NR0B2,8431,1
SDPR,8436,1
DYRK2,8445,1
ATRN,8455,1
FOXN1,8456,1
TPST1,8460,1
KLF11,8462,1
FKBP6,8468,1
CILP,8483,1
PPFIA2,8499,1
SLC43A1,8501,1
PEX3,8504,1
CNTNAP1,8506,1
DGKD,8527,1
BHLHE40,8553,1
TCAP,8557,1
DENR,8562,1
MADD,8567,1
TMEFF1,8577,1
OR6A2,8590,1
PPAP2B,8613,1
CDK13,8621,1
EIF4EBP3,8637,1
PTCH2,8643,1
NCOA1,8648,1
EIF3A,8661,1
EIF4G3,8672,1
VAMP8,8673,1
BECN1,8678,1
DGAT1,8694,1
DNAH11,8701,1
B3GALT4,8705,1
C19orf2,8725,1
GPAA1,8733,1
HRK,8739,1
ADAM21,8747,1
ADAM18,8749,1
PABPC4,8761,1
MPDZ,8777,1
SUCLG2,8801,1
IL18R1,8809,1
BANF1,8815,1
FGF17,8822,1
SYNGAP1,8831,1
KSR1,8844,1
AKAP4,8852,1
ALDH1A2,8854,1
LDB1,8861,1
SYNJ2,8871,1
MCM3AP,8888,1
MTMR3,8897,1
AP1M1,8907,1
